origin,destination,distance_km,origin_lat,origin_lon,destination_lat,destination_lon
CDMX,Zapopan Jalisco Mexico,520,19.4326296,-99.1331785,20.6596988,-103.3496092
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,La Paz Baja California Mexico,1122,20.6596988,-103.3496092,32.5050622,-116.9045963
Zapopan Jalisco Mexico,La Paz Baja California Mexico,1122,20.6596988,-103.3496092,32.5050622,-116.9045963
Zapopan Jalisco Mexico,La Paz Baja California Mexico,1122,20.6596988,-103.3496092,32.5050622,-116.9045963
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
Zapopan Jalisco Mexico,CDMX,520,20.6596988,-103.3496092,19.4326296,-99.1331785
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Guadalajara Jalisco Mexico,552,19.4326296,-99.1331785,20.674652,-103.365051
Guadalajara Jalisco Mexico,CDMX,552,20.674652,-103.365051,19.4326296,-99.1331785
Monterrey Nuevo Leon Mexico,Monterrey Nuevo Leon Mexico,50,25.680522,-100.313821,25.680522,-100.313821
CDMX,Monterrey Nuevo Leon Mexico,910,19.4326296,-99.1331785,25.680522,-100.313821
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Guadalajara Jalisco Mexico,552,19.4326296,-99.1331785,20.674652,-103.365051
Guadalajara Jalisco Mexico,CDMX,552,20.674652,-103.365051,19.4326296,-99.1331785
Monterrey Nuevo Leon Mexico,Monterrey Nuevo Leon Mexico,50,25.680522,-100.313821,25.680522,-100.313821
CDMX,Monterrey Nuevo Leon Mexico,910,19.4326296,-99.1331785,25.680522,-100.313821
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Guadalajara Jalisco Mexico,552,19.4326296,-99.1331785,20.674652,-103.365051
Guadalajara Jalisco Mexico,CDMX,552,20.674652,-103.365051,19.4326296,-99.1331785
Monterrey Nuevo Leon Mexico,Monterrey Nuevo Leon Mexico,50,25.680522,-100.313821,25.680522,-100.313821
CDMX,Monterrey Nuevo Leon Mexico,910,19.4326296,-99.1331785,25.680522,-100.313821
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Guadalajara Jalisco Mexico,552,19.4326296,-99.1331785,20.674652,-103.365051
Guadalajara Jalisco Mexico,CDMX,552,20.674652,-103.365051,19.4326296,-99.1331785
Monterrey Nuevo Leon Mexico,Monterrey Nuevo Leon Mexico,50,25.680522,-100.313821,25.680522,-100.313821
CDMX,Monterrey Nuevo Leon Mexico,910,19.4326296,-99.1331785,25.680522,-100.313821
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Guadalajara Jalisco Mexico,552,19.4326296,-99.1331785,20.674652,-103.365051
Guadalajara Jalisco Mexico,CDMX,552,20.674652,-103.365051,19.4326296,-99.1331785
Monterrey Nuevo Leon Mexico,Monterrey Nuevo Leon Mexico,50,25.680522,-100.313821,25.680522,-100.313821
CDMX,Monterrey Nuevo Leon Mexico,910,19.4326296,-99.1331785,25.680522,-100.313821
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Toluca de Lerdo Estado de Mexico Mexico,88,19.4326296,-99.1331785,19.290252,-99.657664
CDMX,Apaseo el Grande Guanajuato Mexico,207,19.4326296,-99.1331785,20.9512191,-101.3184872
CDMX,Celaya Guanajuato Mexico,261,19.4326296,-99.1331785,21.0245689,-101.2741966
CDMX,Salamanca Guanajuato Mexico,300,19.4326296,-99.1331785,21.0242582,-101.2740392
CDMX,San Jose Iturbide Guanajuato Mexico,222,19.4326296,-99.1331785,20.999661,-100.385532
CDMX,Silao Guanuajuato Mexico,350,19.4326296,-99.1331785,20.943338,-101.427207
CDMX,Guadalajara Jalisco Mexico,550,19.4326296,-99.1331785,20.674652,-103.365051
CDMX,Tlajomulco de Zuñiga Jalisco Mexico,536,19.4326296,-99.1331785,20.48187375,-103.4005097
CDMX,Tlaquepaque Jalisco Mexico,512,19.4326296,-99.1331785,20.605126,-103.324509
CDMX,Zapopan Jalisco Mexico,520,19.4326296,-99.1331785,20.6596988,-103.3496092
CDMX,Cuernavaca Morelos Mexico,127,19.4326296,-99.1331785,18.920846,-99.234746
CDMX,Santa Catarina Nuevo Leon Mexico,856,19.4326296,-99.1331785,25.6745052,-100.4616371
CDMX,Puebla de Zaragoza Puebla Mexico,183,19.4326296,-99.1331785,19.0254554,-98.2116253
CDMX,Queretaro Queretaro Mexico,217,19.4326296,-99.1331785,20.5954708,-100.397059
CDMX,Laguna de San Vicente San Luis Potosi Mexico,354,19.4326296,-99.1331785,21.9466934,-100.8605931
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Toluca de Lerdo Estado de Mexico Mexico,88,19.4326296,-99.1331785,19.290252,-99.657664
CDMX,Apaseo el Grande Guanajuato Mexico,207,19.4326296,-99.1331785,20.9512191,-101.3184872
CDMX,Celaya Guanajuato Mexico,261,19.4326296,-99.1331785,21.0245689,-101.2741966
CDMX,Salamanca Guanajuato Mexico,300,19.4326296,-99.1331785,21.0242582,-101.2740392
CDMX,San Jose Iturbide Guanajuato Mexico,222,19.4326296,-99.1331785,20.999661,-100.385532
CDMX,Silao Guanuajuato Mexico,350,19.4326296,-99.1331785,20.943338,-101.427207
CDMX,Guadalajara Jalisco Mexico,550,19.4326296,-99.1331785,20.674652,-103.365051
CDMX,Tlajomulco de Zuñiga Jalisco Mexico,536,19.4326296,-99.1331785,20.48187375,-103.4005097
CDMX,Tlaquepaque Jalisco Mexico,512,19.4326296,-99.1331785,20.605126,-103.324509
CDMX,Zapopan Jalisco Mexico,520,19.4326296,-99.1331785,20.6596988,-103.3496092
CDMX,Cuernavaca Morelos Mexico,127,19.4326296,-99.1331785,18.920846,-99.234746
CDMX,Santa Catarina Nuevo Leon Mexico,856,19.4326296,-99.1331785,25.6745052,-100.4616371
CDMX,Puebla de Zaragoza Puebla Mexico,183,19.4326296,-99.1331785,19.0254554,-98.2116253
CDMX,Queretaro Queretaro Mexico,217,19.4326296,-99.1331785,20.5954708,-100.397059
CDMX,Laguna de San Vicente San Luis Potosi Mexico,354,19.4326296,-99.1331785,21.9466934,-100.8605931
CDMX,CDMX,50,19.4326296,-99.1331785,19.4326296,-99.1331785
CDMX,Toluca de Lerdo Estado de Mexico Mexico,88,19.4326296,-99.1331785,19.290252,-99.657664
CDMX,Apaseo el Grande Guanajuato Mexico,207,19.4326296,-99.1331785,20.9512191,-101.3184872
CDMX,Celaya Guanajuato Mexico,261,19.4326296,-99.1331785,21.0245689,-101.2741966
CDMX,Salamanca Guanajuato Mexico,300,19.4326296,-99.1331785,21.0242582,-101.2740392
CDMX,San Jose Iturbide Guanajuato Mexico,222,19.4326296,-99.1331785,20.999661,-100.385532
CDMX,Silao Guanuajuato Mexico,350,19.4326296,-99.1331785,20.943338,-101.427207
CDMX,Guadalajara Jalisco Mexico,550,19.4326296,-99.1331785,20.674652,-103.365051
CDMX,Tlajomulco de Zuñiga Jalisco Mexico,536,19.4326296,-99.1331785,20.48187375,-103.4005097
CDMX,Tlaquepaque Jalisco Mexico,512,19.4326296,-99.1331785,20.605126,-103.324509
CDMX,Zapopan Jalisco Mexico,520,19.4326296,-99.1331785,20.6596988,-103.3496092
CDMX,Cuernavaca Morelos Mexico,127,19.4326296,-99.1331785,18.920846,-99.234746
CDMX,Santa Catarina Nuevo Leon Mexico,856,19.4326296,-99.1331785,25.6745052,-100.4616371
CDMX,Puebla de Zaragoza Puebla Mexico,183,19.4326296,-99.1331785,19.0254554,-98.2116253
CDMX,Queretaro Queretaro Mexico,217,19.4326296,-99.1331785,20.5954708,-100.397059
CDMX,Laguna de San Vicente San Luis Potosi Mexico,354,19.4326296,-99.1331785,21.9466934,-100.8605931
Manzanillo Colima Mexico,Acatic Jalisco Mexico,349,19.264454,-103.7289144,20.780263,-102.91049
Manzanillo Colima Mexico,Acatic Jalisco Mexico,349,19.264454,-103.7289144,20.780263,-102.91049
Manzanillo Colima Mexico,Aguascalientes Aguascalientes Mexico,507.2,19.264454,-103.7289144,21.8972553,-102.2725336
Manzanillo Colima Mexico,Aguascalientes Aguascalientes Mexico,507.2,19.264454,-103.7289144,21.8972553,-102.2725336
Manzanillo Colima Mexico,Allende Coahuila Mexico,1383.6,19.264454,-103.7289144,28.3420816,-100.8517302
Manzanillo Colima Mexico,Allende Coahuila Mexico,1383.6,19.264454,-103.7289144,28.3420816,-100.8517302
Manzanillo Colima Mexico,Apaseo el Grande Guanajuato Mexico,616.4,19.264454,-103.7289144,20.9512191,-101.3184872
Manzanillo Colima Mexico,Apaseo el Grande Guanajuato Mexico,616.4,19.264454,-103.7289144,20.9512191,-101.3184872
Manzanillo Colima Mexico,Apodaca Nuevo Leon Mexico,1111.8,19.264454,-103.7289144,25.7816542,-100.1887501
Manzanillo Colima Mexico,Apodaca Nuevo Leon Mexico,1111.8,19.264454,-103.7289144,25.7816542,-100.1887501
Manzanillo Colima Mexico,Arandas Jalisco Mexico,415.1,19.264454,-103.7289144,20.705504,-102.345166
Manzanillo Colima Mexico,Arandas Jalisco Mexico,415.1,19.264454,-103.7289144,20.705504,-102.345166
Manzanillo Colima Mexico,Arteaga Coahuila Mexico,1015.4,19.264454,-103.7289144,25.3453685,-100.6831723
Manzanillo Colima Mexico,Arteaga Coahuila Mexico,1015.4,19.264454,-103.7289144,25.3453685,-100.6831723
Manzanillo Colima Mexico,Atotonilco el Alto Jalisco Mexico,382.5,19.264454,-103.7289144,20.551329,-102.508283
Manzanillo Colima Mexico,Atotonilco el Alto Jalisco Mexico,382.5,19.264454,-103.7289144,20.551329,-102.508283
Manzanillo Colima Mexico,Camargo Chihuahua Mexico,1314,19.264454,-103.7289144,28.0582028,-104.3801065
Manzanillo Colima Mexico,Camargo Chihuahua Mexico,1314,19.264454,-103.7289144,28.0582028,-104.3801065
Manzanillo Colima Mexico,Ciudad Guzman Jalisco Mexico,167.8,19.264454,-103.7289144,19.703374,-103.463942
Manzanillo Colima Mexico,Ciudad Guzman Jalisco Mexico,167.8,19.264454,-103.7289144,19.703374,-103.463942
Manzanillo Colima Mexico,Ciudad Juarez Chihuahua Mexico,1833.4,19.264454,-103.7289144,31.7372575,-106.485655
Manzanillo Colima Mexico,Ciudad Juarez Chihuahua Mexico,1833.4,19.264454,-103.7289144,31.7372575,-106.485655
Manzanillo Colima Mexico,Ciudad Obregon Sonora Mexico,1358.6,19.264454,-103.7289144,27.4846619,-109.9337782
Manzanillo Colima Mexico,Ciudad Obregon Sonora Mexico,1358.6,19.264454,-103.7289144,27.4846619,-109.9337782
Manzanillo Colima Mexico,CDMX,835.2,19.264454,-103.7289144,19.4326296,-99.1331785
Manzanillo Colima Mexico,CDMX,835.2,19.264454,-103.7289144,19.4326296,-99.1331785
Manzanillo Colima Mexico,Celaya Guanajuato Mexico,603,19.264454,-103.7289144,21.0245689,-101.2741966
Manzanillo Colima Mexico,Celaya Guanajuato Mexico,603,19.264454,-103.7289144,21.0245689,-101.2741966
Manzanillo Colima Mexico,Chihuahua Chihuahua Mexico,1465.4,19.264454,-103.7289144,28.6821267,-106.101706
Manzanillo Colima Mexico,Chihuahua Chihuahua Mexico,1465.4,19.264454,-103.7289144,28.6821267,-106.101706
Manzanillo Colima Mexico,Coatzacoalcos Veracruz Mexico,1409.3,19.264454,-103.7289144,18.1396787,-94.4501731
Manzanillo Colima Mexico,Coatzacoalcos Veracruz Mexico,1409.3,19.264454,-103.7289144,18.1396787,-94.4501731
Manzanillo Colima Mexico,Cortazar Guanajuato Mexico,615.9,19.264454,-103.7289144,20.4220211,-100.9305673
Manzanillo Colima Mexico,Cortazar Guanajuato Mexico,615.9,19.264454,-103.7289144,20.4220211,-100.9305673
Manzanillo Colima Mexico,Cuatro Cienegas Coahuila Mexico,1274.1,19.264454,-103.7289144,26.66650175,-102.3791854
Manzanillo Colima Mexico,Cuatro Cienegas Coahuila Mexico,1274.1,19.264454,-103.7289144,26.66650175,-102.3791854
Manzanillo Colima Mexico,Cuautla Morelos Mexico,914.2,19.264454,-103.7289144,18.816037,-98.953191
Manzanillo Colima Mexico,Cuautla Morelos Mexico,914.2,19.264454,-103.7289144,18.816037,-98.953191
Manzanillo Colima Mexico,Culiacan Sinaloa Mexico,943.6,19.264454,-103.7289144,24.807412,-107.394412
Manzanillo Colima Mexico,Culiacan Sinaloa Mexico,943.6,19.264454,-103.7289144,24.807412,-107.394412
Manzanillo Colima Mexico,Durango Durango Mexico,929.5,19.264454,-103.7289144,24.021205,-104.654966
Manzanillo Colima Mexico,Durango Durango Mexico,929.5,19.264454,-103.7289144,24.021205,-104.654966
Manzanillo Colima Mexico,Guadalajara Jalisco Mexico,290,19.264454,-103.7289144,20.674652,-103.365051
Manzanillo Colima Mexico,Guadalajara Jalisco Mexico,290,19.264454,-103.7289144,20.674652,-103.365051
Manzanillo Colima Mexico,Guadalajara Jalisco Mexico,290,19.264454,-103.7289144,20.674652,-103.365051
Manzanillo Colima Mexico,Guadalajara Jalisco Mexico,290,19.264454,-103.7289144,20.674652,-103.365051
Manzanillo Colima Mexico,Hermosillo Sonora Mexico,1611.4,19.264454,-103.7289144,29.09426,-110.969649
Manzanillo Colima Mexico,Hermosillo Sonora Mexico,1611.4,19.264454,-103.7289144,29.09426,-110.969649
Manzanillo Colima Mexico,Huejotzingo Puebla Mexico,931.5,19.264454,-103.7289144,19.16427705,-98.43927536
Manzanillo Colima Mexico,Huejotzingo Puebla Mexico,931.5,19.264454,-103.7289144,19.16427705,-98.43927536
Manzanillo Colima Mexico,Irapuato Guanuajuato Mexico,542.3,19.264454,-103.7289144,20.67465,-101.345541
Manzanillo Colima Mexico,Irapuato Guanuajuato Mexico,542.3,19.264454,-103.7289144,20.67465,-101.345541
Manzanillo Colima Mexico,Jesus Maria Jalisco Mexico,312.4,19.264454,-103.7289144,20.64794705,-102.1075738
Manzanillo Colima Mexico,Jesus Maria Jalisco Mexico,312.4,19.264454,-103.7289144,20.64794705,-102.1075738
Manzanillo Colima Mexico,Jimenez Chihuahua Mexico,1244.9,19.264454,-103.7289144,26.96566235,-104.3673107
Manzanillo Colima Mexico,Jimenez Chihuahua Mexico,1244.9,19.264454,-103.7289144,26.96566235,-104.3673107
Manzanillo Colima Mexico,Lagos de moreno Jalisco Mexico,473.5,19.264454,-103.7289144,21.354782,-101.932084
Manzanillo Colima Mexico,Lagos de moreno Jalisco Mexico,473.5,19.264454,-103.7289144,21.354782,-101.932084
Manzanillo Colima Mexico,Leon Guanajuato Mexico,508.8,19.264454,-103.7289144,21.122002,-101.681926
